0|iata_code|1|name_rus|2|name_eng|3|city_rus|4|city_eng|5|country_rus|6|latitude|7|longitude
AGI|AGI|Вагенинген|Вагенинген|Wageningen|Wageningen|Вагенинген|Вагенинген|Wageningen|Wageningen|Суринам|Суринам|5.833|5.833|-56.650|-56.650
AGJ|AGJ|Агуни|Агуни|Aguni|Aguni|Агуни|Агуни|Aguni|Aguni|Япония|Япония|26.592778|26.592778|127.240278|127.240278
AGK|AGK|Кагуа|Кагуа|Kagua|Kagua|Кагуа|Кагуа|Kagua|Kagua|Папуа - Новая Гвинея|Папуа - Новая Гвинея|-6.383|-6.383|143.850|143.850
AGL|AGL|Ванигела|Ванигела|Wanigela|Wanigela|Ванигела|Ванигела|Wanigela|Wanigela|Папуа - Новая Гвинея|Папуа - Новая Гвинея|-9.333|-9.333|149.150|149.150
AGM|AGM|||Tasiilaq|Tasiilaq|||Tasiilaq|Tasiilaq|Гренландия|Гренландия|65.612222|65.612222|-37.618332|-37.618332
AGN|AGN|Ангун|Ангун|Angoon|Angoon|||Angoon|Angoon|США|США|57.503555|57.503555|-134.585093|-134.585093
AGO|AGO|||Municipal|Municipal|||Magnolia|Magnolia|США|США|33.227468|33.227468|-93.216992|-93.216992
AGP|AGP|||Pablo Ruiz Picasso|Pablo Ruiz Picasso|Малага|Малага|Malaga|Malaga|Испания|Испания|36.674900|36.674900|-4.499106|-4.499106
AGQ|AGQ|Агринио|Агринио|Agrinion|Agrinion|Агринио|Агринио|Agrinion|Agrinion|Греция|Греция|38.602022|38.602022|21.351208|21.351208
AGR|AGR|||Kheria|Kheria|Агра|Агра|Agra|Agra|Индия|Индия|27.155831|27.155831|77.960892|77.960892
AGS|AGS|||Bush Field|Bush Field|||Augusta|Augusta|США|США|33.369944|33.369944|-81.964499|-81.964499
AGT|AGT|||Alejo Garcia|Alejo Garcia|Кудад-дель-Эсте|Кудад-дель-Эсте|Ciudad Del Este|Ciudad Del Este|Парагвай|Парагвай|-25.455499|-25.455499|-54.843591|-54.843591
AGU|AGU|||Aguascalients|Aguascalients|Агуаскалиентес|Агуаскалиентес|Aguascalientes|Aguascalientes|Мексика|Мексика|21.705558|21.705558|-102.317857|-102.317857
AGV|AGV|Акарикуа|Акарикуа|Acarigua|Acarigua|Акарикуа|Акарикуа|Acarigua|Acarigua|Венесуэла|Венесуэла|9.553422|9.553422|-69.237535|-69.237535
AGW|AGW|||Agnew|Agnew|||Agnew|Agnew|Австралия|Австралия|-12.145555|-12.145555|142.149167|142.149167
